job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
MathWorks:35921,MathWorks,Data Architect,US-MA-Natick; Natick; United States,Business Applications and Tools,https://www.mathworks.com/company/jobs/opportunities/35921-data-architect.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35921
MathWorks:37028,MathWorks,Director of Digital Marketing and Campaigns,US-MA-Natick; Natick; United States,Marketing Communications,https://www.mathworks.com/company/jobs/opportunities/37028-director-of-digital-marketing-and-campaigns.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37028
MathWorks:36858,MathWorks,"Director, Software Pricing and Licensing Strategy",US-MA-Natick; Natick; United States,Business Model Team,https://www.mathworks.com/company/jobs/opportunities/36858-director-software-pricing-and-licensing-strategy.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36858
MathWorks:35592,MathWorks,Duke University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/35592-duke-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35592
MathWorks:37046,MathWorks,Embedded SW Verification - Application Engineer - Polyspace,SE-Gothenburg; Gothenburg; SE,Technical Sales Engineering,https://www.mathworks.com/company/jobs/opportunities/37046-embedded-sw-verification-application-engineer-polyspace.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37046
MathWorks:37075,MathWorks,EMEA Customer Success Specialist - French Speaking,IE-Galway; Galway; IE,Customer Success,https://www.mathworks.com/company/jobs/opportunities/37075-emea-customer-success-specialist-french-speaking.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37075
MathWorks:36465,MathWorks,EMEA Revenue Operations & Finance Manager,IE-Galway; Galway; IE,Finance and Operations,https://www.mathworks.com/company/jobs/opportunities/36465-emea-revenue-operations-finance-manager.html,,2026-07-24T10:05:39+00:00,2026-07-24 03:05 Fri,,false,,,,false,mathworks:MathWorks:36465
MathWorks:37280,MathWorks,ENSTA MATLAB Student Ambassador,FR-Toulouse; Toulouse; FR,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37280-ensta-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37280
MathWorks:36825,MathWorks,Enterprise Customer Success Specialist - German Speaking,IE-Galway; Galway; IE,Customer Success,https://www.mathworks.com/company/jobs/opportunities/36825-enterprise-customer-success-specialist-german-speaking.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36825
MathWorks:37227,MathWorks,Enterprise User Engagement Customer Success Specialist,US-MA-Natick; Natick; United States,Customer Success,https://www.mathworks.com/company/jobs/opportunities/37227-enterprise-user-engagement-customer-success-specialist.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37227
MathWorks:36639,MathWorks,Financial Analyst (FP&A),US-MA-Natick; Natick; United States,Finance and Operations,https://www.mathworks.com/company/jobs/opportunities/36639-financial-analyst-fp-a.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36639
MathWorks:34798,MathWorks,Global Technical Account Lead - Semiconductor Solutions,NL-Eindhoven; Eindhoven; NL,Technical Sales Engineering,https://www.mathworks.com/company/jobs/opportunities/34798-global-technical-account-lead-semiconductor-solutions.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:34798
MathWorks:37254,MathWorks,Hanyang University MATLAB Student Ambassador,KR-Seoul; Seoul; KR,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37254-hanyang-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37254
MathWorks:37379,MathWorks,Head of Corporate Accounting and Planning,US-MA-Natick; Natick; United States,Finance and Operations,https://www.mathworks.com/company/jobs/opportunities/37379-head-of-corporate-accounting-and-planning.html,,2026-07-20T15:05:20+00:00,2026-07-20 08:05 Mon,,false,,,,false,mathworks:MathWorks:37379
MathWorks:36416,MathWorks,Hosting Reliability Engineer,IN-Hyderabad; Hyderabad; IN,Information Technology,https://www.mathworks.com/company/jobs/opportunities/36416-hosting-reliability-engineer.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36416
MathWorks:37378,MathWorks,Industry AE - Automotive Software Engineering (ASPICE/MBSE),KR-Seoul; Seoul; KR,Technical Sales Engineering,https://www.mathworks.com/company/jobs/opportunities/37378-industry-ae-automotive-software-engineering-aspice-mbse.html,,2026-07-23T14:17:42+00:00,2026-07-23 07:17 Thu,,false,,,,false,mathworks:MathWorks:37378
MathWorks:37094,MathWorks,Information Security Analyst - Cloud & AppSec,IN-Hyderabad; Hyderabad; IN,Information Technology,https://www.mathworks.com/company/jobs/opportunities/37094-information-security-analyst-cloud-appsec.html,,2026-07-24T15:17:40+00:00,2026-07-24 08:17 Fri,,false,,,,false,mathworks:MathWorks:37094
MathWorks:36695,MathWorks,Inha University MATLAB Student Ambassador,KR-Seoul; Seoul; KR,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/36695-inha-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36695
MathWorks:36716,MathWorks,Inside Sales Representative,KR-Seoul; Seoul; KR,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/36716-inside-sales-representative.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36716
MathWorks:36180,MathWorks,Inside Sales Representative (EMEA),IE-Galway; Galway; IE,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/36180-inside-sales-representative-emea.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36180
MathWorks:37328,MathWorks,Inside Sales Representative (Italian & English),IE-Galway; Galway; IE,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/37328-inside-sales-representative-italian-english.html,,2026-07-24T10:05:39+00:00,2026-07-24 03:05 Fri,,false,,,,false,mathworks:MathWorks:37328
MathWorks:36373,MathWorks,Japan Automotive Market Development Manager,JP-Tokyo; Tokyo; JP,Industry Marketing,https://www.mathworks.com/company/jobs/opportunities/36373-japan-automotive-market-development-manager.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36373
MathWorks:37176,MathWorks,Johns Hopkins University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37176-johns-hopkins-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37176
MathWorks:36758,MathWorks,Kalinga Inst.of Industrial Tech University MATLAB Ambassador,IN-Bangalore; Bangalore; IN,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/36758-kalinga-inst-of-industrial-tech-university-matlab-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36758
MathWorks:37110,MathWorks,Key Account Marketing Specialist / ABM,UK-Cambridge; Cambridge; UK,Marketing Communications,https://www.mathworks.com/company/jobs/opportunities/37110-key-account-marketing-specialist-abm.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37110
MathWorks:37282,MathWorks,KTH MATLAB Student Ambassador,SE-Gothenburg; Gothenburg; SE,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37282-kth-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37282
MathWorks:27403,MathWorks,Kyoto University MATLAB Student Ambassador,JP-Tokyo; Tokyo; JP,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/27403-kyoto-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:27403
MathWorks:35431,MathWorks,Linköping University MATLAB Student Ambassador,SE-Gothenburg; Gothenburg; SE,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/35431.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35431
MathWorks:36207,MathWorks,Manager - Japan Industry Market Development Team,JP-Tokyo; Tokyo; JP,Industry Marketing,https://www.mathworks.com/company/jobs/opportunities/36207-manager-japan-industry-market-development-team.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36207
