job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Xcel Energy:4e0b2f0b-7f11-43bb-97e6-dc33f22b1799,Xcel Energy,Damage Prevention Intern,"Minneapolis, MN; St Paul, MN",AI/ML/Data,https://xcelenergy.wd1.myworkdayjobs.com/External/job/St-Paul-MN-55117/Damage-Prevention-Intern---MN_JR115636-1,2026-09-02,2026-09-02,2026-09-03T05:41:27+00:00,2026-09-02 22:41 Wed,,false,,,,false,simplify:Simplify Internships:4e0b2f0b-7f11-43bb-97e6-dc33f22b1799
Xcel Energy:02c345c2-b292-434b-ac59-b96cfe54a8ca,Xcel Energy,Gas & Electric Design Analytics and Process Improvement Intern - MN,"Minneapolis, MN",AI/ML/Data,https://xcelenergy.wd1.myworkdayjobs.com/External/job/Minneapolis-MN-55418/Gas---Electric-Design-Analytics-and-Process-Improvement-Intern---MN_JR115641,2026-09-02,2026-09-02,2026-09-03T05:41:27+00:00,2026-09-02 22:41 Wed,Computer Vision,true,Keyword,52,keyword-only heuristic,true,simplify:Simplify Internships:02c345c2-b292-434b-ac59-b96cfe54a8ca
Xcel Energy:3ae9bc6e-d495-495e-8e13-65d584c347f6,Xcel Energy,Geospatial Data Validation Intern,"Minneapolis, MN; Denver, CO",AI/ML/Data,https://xcelenergy.wd1.myworkdayjobs.com/External/job/Minneapolis-MN-55418/Geospatial-Tech---Data---Vendor-Mgmt-Intern---MN--CO_JR115634-2,2026-09-02,2026-09-02,2026-09-03T05:41:27+00:00,2026-09-02 22:41 Wed,,false,,,,false,simplify:Simplify Internships:3ae9bc6e-d495-495e-8e13-65d584c347f6
