job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
National Laboratory of the Rockies:aede4467-5907-43aa-850b-9d6349575538,National Laboratory of the Rockies,Associate/Undergraduate Intern,Remote in USA,AI/ML/Data,https://nrel.wd5.myworkdayjobs.com/NLR/job/Remote/XMLNAME--Associate-Undergraduate--Intern---Carbon-Management-and-Large-Energy-Systems_R14405,2026-07-08,2026-07-08T23:12:06+00:00,2026-07-08 16:12 Wed,,false,,,,false,simplify:Simplify Internships:aede4467-5907-43aa-850b-9d6349575538
National Laboratory of the Rockies:1c39cba6-ebfc-4c07-b06a-3ab376302145,National Laboratory of the Rockies,Energy Data Analysis Intern,"Golden, CO",AI/ML/Data,https://nrel.wd5.myworkdayjobs.com/NLR/job/Remote/Energy-Data-Analysis----Year-Round--Graduate-Internship_R14400,2026-07-13,2026-07-13T23:16:56+00:00,2026-07-13 16:16 Mon,,false,,,,false,simplify:Simplify Internships:1c39cba6-ebfc-4c07-b06a-3ab376302145
National Laboratory of the Rockies:c1d1053c-438a-481e-8375-57149313ea2f,National Laboratory of the Rockies,Software and Data Infrastructure Intern,"Golden, CO",Software,https://nrel.wd5.myworkdayjobs.com/NLR/job/Golden-CO/Undergraduate-graduate-intern---software-and-data-infrastructure-for-autonomous-thin-film-experimentation--Year-Round-_R14394,2026-07-08,2026-07-08T23:12:06+00:00,2026-07-08 16:12 Wed,,false,,,,false,simplify:Simplify Internships:c1d1053c-438a-481e-8375-57149313ea2f
