job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Hunt Oil Company:2cbee70e-627e-4999-91e3-b76e3b9c1bad,Hunt Oil Company,AI Engineer,"Dallas, TX",AI/ML/Data,https://fa-eqcd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/839,2025-11-18,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:2cbee70e-627e-4999-91e3-b76e3b9c1bad
Hunt Oil Company:38bff1c7-62f2-4905-a514-c01224657e91,Hunt Oil Company,SAP BTP Application Developer Intern - Summer 2026,"Dallas, TX",Software,https://fa-eqcd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/886,2026-02-09,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:38bff1c7-62f2-4905-a514-c01224657e91
Hunt Oil Company:83c142e0-55fd-47b2-bbc2-e6813317112c,Hunt Oil Company,Software Engineer Intern - Summer 2026,"Dallas, TX",Software,https://fa-eqcd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/891,2026-02-19,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:83c142e0-55fd-47b2-bbc2-e6813317112c
