job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Mondelez International:ba20a0de-d82d-4d5b-8c1d-c9e68e0d9741,Mondelez International,Promotions Analyst Intern,"Santa Fe, NM",AI/ML/Data,https://wd3.myworkdaysite.com/recruiting/mdlz/External/job/Santa-F-Mexico/Becario-Analista-de-promociones--RGM-_R-176656,2026-09-23,2026-09-23,2026-09-24T01:40:44+00:00,2026-09-23 18:40 Wed,,false,,,,false,simplify:Simplify Internships:ba20a0de-d82d-4d5b-8c1d-c9e68e0d9741,2026-09-23
Mondelez International:3fa14192-2a32-445c-adeb-9ffe9446fa86,Mondelez International,Promotions Analyst Intern - Revenue Growth Management,"Santa Fe, NM",AI/ML/Data,https://wd3.myworkdaysite.com/recruiting/mdlz/External/job/Santa-F-Mexico/Becario-Analista-de-promociones--RGM-_R-176645,2026-09-23,2026-09-23,2026-09-24T01:40:44+00:00,2026-09-23 18:40 Wed,,false,,,,false,simplify:Simplify Internships:3fa14192-2a32-445c-adeb-9ffe9446fa86,2026-09-23
