job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Noom:8092909,Noom,Agentic Engineer New Grad,"Princeton, NJ",AI/ML/Data,https://www.noom.com/careers/job-listings/?gh_jid=8092909,2026-08-27,2026-08-27,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:8092909,2026-08-27
Noom:8114573,Noom,Agentic Engineer New Grad,"Princeton, NJ",Software,https://www.noom.com/careers/job-listings/?gh_jid=8114573,2026-09-18,2026-09-18,2026-09-19T01:17:08+00:00,2026-09-18 18:17 Fri,Other Technical,true,Keyword,56,僅以關鍵字比對評分（只比對職稱）,true,simplify:Simplify New Grad:8114573,2026-09-18
