job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Lawrence Livermore National Laboratory (LLNL):bf2ef6a4-2b5f-4eed-8e5d-57612263f6b6,Lawrence Livermore National Laboratory (LLNL),Computational Engineering Graduate Intern,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990014730886,2026-08-21,2026-08-21,2026-08-21T01:41:26+00:00,2026-08-20 18:41 Thu,,false,,,,false,simplify:Simplify Internships:bf2ef6a4-2b5f-4eed-8e5d-57612263f6b6
Lawrence Livermore National Laboratory (LLNL):aa614bc4-58c3-40d5-a9fb-f5fdbe4a7c43,Lawrence Livermore National Laboratory (LLNL),Computational Engineering Graduate Intern - Fall 2026,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990014541076,2026-08-11,2026-08-11,2026-08-11T22:41:42+00:00,2026-08-11 15:41 Tue,,false,,,,false,simplify:Simplify Internships:aa614bc4-58c3-40d5-a9fb-f5fdbe4a7c43
Lawrence Livermore National Laboratory (LLNL):9f95537f-116c-4860-aa72-4a94ca9f4470,Lawrence Livermore National Laboratory (LLNL),Computing Graduate Student Intern,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990013801396,2026-06-26,2026-06-26,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:9f95537f-116c-4860-aa72-4a94ca9f4470
Lawrence Livermore National Laboratory (LLNL):aff0f7eb-cbae-4dcd-a24a-f6e020259c05,Lawrence Livermore National Laboratory (LLNL),Computing Undergraduate Student Intern,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990013801386,2026-06-26,2026-06-26,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:aff0f7eb-cbae-4dcd-a24a-f6e020259c05
Lawrence Livermore National Laboratory (LLNL):17156e64-71de-4381-bb2e-56629af78b66,Lawrence Livermore National Laboratory (LLNL),Energy Systems Analyst Graduate Intern - Fall 2026,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990014731696,2026-08-21,2026-08-21,2026-08-21T06:41:23+00:00,2026-08-20 23:41 Thu,,false,,,,false,simplify:Simplify Internships:17156e64-71de-4381-bb2e-56629af78b66
Lawrence Livermore National Laboratory (LLNL):43d2af12-58ef-4a09-9b0c-eca848f6b3ee,Lawrence Livermore National Laboratory (LLNL),"Environment, Safety and Health Undergraduate Intern - Fall 2026","Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990014730996,2026-08-21,2026-08-21,2026-08-21T01:41:26+00:00,2026-08-20 18:41 Thu,,false,,,,false,simplify:Simplify Internships:43d2af12-58ef-4a09-9b0c-eca848f6b3ee
Lawrence Livermore National Laboratory (LLNL):5ba6e23d-6e0c-406a-9f67-e88da7202998,Lawrence Livermore National Laboratory (LLNL),Machine Learning Physics Graduate Student Intern,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990013424486,2026-06-02,2026-06-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:5ba6e23d-6e0c-406a-9f67-e88da7202998
Lawrence Livermore National Laboratory (LLNL):f8b9e37f-3c7e-4e07-b7ca-ac75b69f8c7d,Lawrence Livermore National Laboratory (LLNL),Solid State Magnetic Resonance Spectroscopist - Postdoctoral Researcher,"Livermore, CA",AI/ML/Data,https://jobs.smartrecruiters.com/LLNL/3743990014395066,2026-07-31,2026-07-31,2026-07-31T22:41:46+00:00,2026-07-31 15:41 Fri,,false,,,,false,simplify:Simplify Internships:f8b9e37f-3c7e-4e07-b7ca-ac75b69f8c7d
