job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Agile Defense:https://jobs.lever.co/agile-defense/ad49c5eb-fe04-43ec-add8-151057111873/apply,Agile Defense,Enterprise Cloud Systems Engineer - Associate,"Fort Huachuca, AZ",,https://jobs.lever.co/agile-defense/ad49c5eb-fe04-43ec-add8-151057111873/apply,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://jobs.lever.co/agile-defense/ad49c5eb-fe04-43ec-add8-151057111873/apply
Agile Defense:https://jobs.lever.co/agile-defense/ad49c5eb-fe04-43ec-add8-151057111873,Agile Defense,Enterprise Cloud Systems Engineer - Associate,"Fort Huachuca, AZ",,https://jobs.lever.co/agile-defense/ad49c5eb-fe04-43ec-add8-151057111873,,2026-07-14T14:17:06+00:00,2026-07-14 07:17 Tue,,false,,,,false,speedyapply:SpeedyApply SWE:https://jobs.lever.co/agile-defense/ad49c5eb-fe04-43ec-add8-151057111873
Agile Defense:https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964/apply,Agile Defense,Software Developer I,"Aberdeen Proving Ground, MD",,https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964/apply,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964/apply
Agile Defense:https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964,Agile Defense,Software Developer I,"Aberdeen Proving Ground, MD",,https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964,,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://jobs.lever.co/agile-defense/4d5254dd-8366-4983-9156-a7f989fea964
