job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Formlabs:a0a6c7de-12fb-4e52-93f3-86d62a5a9b19,Formlabs,AI Software Intern - Fall 2026,"Somerville, MA",,https://careers.formlabs.com/job/8067641/apply/?gh_jid=8067641,,2026-07-17T00:17:25+00:00,2026-07-16 17:17 Thu,,false,,,,false,simplify:Simplify Internships:a0a6c7de-12fb-4e52-93f3-86d62a5a9b19|speedyapply:SpeedyApply AI:https://careers.formlabs.com/job/8067641/apply/?gh_jid=8067641|speedyapply:SpeedyApply SWE:https://careers.formlabs.com/job/8067641/apply/?gh_jid=8067641
Formlabs:da57bdc2-8679-4ce5-a046-ae2d4ab54823,Formlabs,Algorithms Software Intern - Fall 2026,"Somerville, MA",,https://careers.formlabs.com/job/8060759/apply/?gh_jid=8060759,,2026-07-17T00:17:25+00:00,2026-07-16 17:17 Thu,,false,,,,false,simplify:Simplify Internships:da57bdc2-8679-4ce5-a046-ae2d4ab54823|speedyapply:SpeedyApply SWE:https://careers.formlabs.com/job/8060759/apply/?gh_jid=8060759
Formlabs:9af788c7-f0f9-438a-81b4-dcd5df879ec4,Formlabs,Hardware R&D Engineer Intern,"Cambridge, MA",Hardware,https://careers.formlabs.com/job/7890746/apply/?gh_jid=7890746,2026-06-18,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:9af788c7-f0f9-438a-81b4-dcd5df879ec4
Formlabs:00f44446-ad17-4f48-b8bb-b740cf261ff7,Formlabs,Hardware Systems Integration Intern,"Cambridge, MA",Hardware,https://careers.formlabs.com/job/7927471/apply/?gh_jid=7927471,2026-05-15,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:00f44446-ad17-4f48-b8bb-b740cf261ff7
Formlabs:e45157b9-46dc-4611-a3d0-94318359142c,Formlabs,Manufacturing Test Software Intern - Fall 2026,"Somerville, MA",,https://careers.formlabs.com/job/8021679/apply/?gh_jid=8021679,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:e45157b9-46dc-4611-a3d0-94318359142c|speedyapply:SpeedyApply SWE:https://careers.formlabs.com/job/8021679/apply/?gh_jid=8021679
Formlabs:6d7eaee5-c397-4318-a363-1aca5bdb6bde,Formlabs,Supply Chain Operations Software Intern - Fall 2026,"Somerville, MA",,https://careers.formlabs.com/job/8069676/apply/?gh_jid=8069676,,2026-07-17T10:41:30+00:00,2026-07-17 03:41 Fri,,false,,,,false,simplify:Simplify Internships:6d7eaee5-c397-4318-a363-1aca5bdb6bde|speedyapply:SpeedyApply SWE:https://careers.formlabs.com/job/8069676/apply/?gh_jid=8069676
Formlabs:37c6d738-3d93-410b-a82e-6fd883d15498,Formlabs,Test Engineering Intern,"Cambridge, MA",Hardware,https://careers.formlabs.com/job/7773874/apply/?gh_jid=7773874,2026-04-13,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:37c6d738-3d93-410b-a82e-6fd883d15498
Formlabs:0acde240-8d95-48ba-9f67-ea228b4cbb22,Formlabs,Test Software - Manufacturing Intern - Fall 2026,"Somerville, MA +1",,https://careers.formlabs.com/job/8065543/apply/?gh_jid=8065543,,2026-07-15T00:17:09+00:00,2026-07-14 17:17 Tue,,false,,,,false,simplify:Simplify Internships:0acde240-8d95-48ba-9f67-ea228b4cbb22|speedyapply:SpeedyApply SWE:https://careers.formlabs.com/job/8065543/apply/?gh_jid=8065543
