job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
ViaSat:4f308070-caa1-4da7-8630-fcba5b621f04,ViaSat,Embedded Software Engineer,"Marlborough, MA; Tampa, FL; Tempe, AZ; Carlsbad, CA; Linthicum Heights, MD",Hardware,https://careers.viasat.com/jobs/6723?icims=1,2026-08-19,2026-08-19,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:4f308070-caa1-4da7-8630-fcba5b621f04
ViaSat:bea01365-4ada-471d-abb2-9e8cd6325b9e,ViaSat,Embedded Software Engineer,"Carlsbad, CA; Duluth, GA",Hardware,https://careers.viasat.com/jobs/6735?icims=1,2026-08-27,2026-08-27,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:bea01365-4ada-471d-abb2-9e8cd6325b9e
ViaSat:3773c43b-c721-49d4-a9ed-3cc2ed025d04,ViaSat,Embedded Software Engineer - Secure Network Systems,"Marlborough, MA; Tampa, FL; Tempe, AZ; Carlsbad, CA; Linthicum Heights, MD",Hardware,https://careers.viasat.com/jobs/6722?icims=1,2026-08-19,2026-08-19,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:3773c43b-c721-49d4-a9ed-3cc2ed025d04
ViaSat:f65480d4-ea80-40b5-8df9-f91ba3d8d535,ViaSat,Software Engineer - Automation,"Carlsbad, CA",Software,https://careers.viasat.com/jobs/6330?icims=1,2026-09-03,2026-09-03,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:f65480d4-ea80-40b5-8df9-f91ba3d8d535
