job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Ivy Tech Community College:5bc41c7a-0b80-42cd-a214-530cd8410375,Ivy Tech Community College,Federal Work Study,"Lafayette, IN",Software,https://ivytech.wd1.myworkdayjobs.com/ivy_tech_careers/job/Lafayette-IN/Federal-Work-Study_JR0000108159,2026-06-20,2026-06-20,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:5bc41c7a-0b80-42cd-a214-530cd8410375
Ivy Tech Community College:a7924bcd-c76d-4800-ae34-6449e43917c3,Ivy Tech Community College,Federal Work Study Website Development Intern,"Anderson, IN",Software,https://ivytech.wd1.myworkdayjobs.com/ivy_tech_careers/job/Anderson-IN/Federal-Work-Study---Website-Development-Intern_JR0000105569,2026-06-27,2026-06-27,2026-07-21T05:41:06+00:00,2026-07-20 22:41 Mon,,false,,,,false,simplify:Simplify Internships:a7924bcd-c76d-4800-ae34-6449e43917c3
