job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Tractable:5247ca75-f4ab-401f-86fc-7791aaeadb7f,Tractable,Embedded Systems Engineer,Salt Lake City,Hardware,https://jobs.ashbyhq.com/tractable/5247ca75-f4ab-401f-86fc-7791aaeadb7f,2026-07-14T16:04:02.185+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,70,keyword-only heuristic,true,ashby:Tractable:5247ca75-f4ab-401f-86fc-7791aaeadb7f
Tractable:50a78b11-98eb-45c0-9ec5-a3dcc6249f08,Tractable,Head of Finance,London,Finance & Legal,https://jobs.ashbyhq.com/tractable/50a78b11-98eb-45c0-9ec5-a3dcc6249f08,2026-08-06T12:52:02.453+00:00,2026-08-07T01:17:04+00:00,2026-08-06 18:17 Thu,,false,,,,false,ashby:Tractable:50a78b11-98eb-45c0-9ec5-a3dcc6249f08
Tractable:55d4ae75-af6c-460b-a94c-30e3a46d2ce9,Tractable,Lead Manufacturing Technician,Salt Lake City,Hardware,https://jobs.ashbyhq.com/tractable/55d4ae75-af6c-460b-a94c-30e3a46d2ce9,2026-07-09T20:49:23.607+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Tractable:55d4ae75-af6c-460b-a94c-30e3a46d2ce9
Tractable:7b943abf-23cf-4b9c-a0c9-80d688577236,Tractable,Manufacturing Technician,Salt Lake City,Hardware,https://jobs.ashbyhq.com/tractable/7b943abf-23cf-4b9c-a0c9-80d688577236,2026-07-10T15:12:17.055+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,49,keyword-only heuristic,false,ashby:Tractable:7b943abf-23cf-4b9c-a0c9-80d688577236
Tractable:398e718d-9f7c-4ea3-a197-62bcdfd063ac,Tractable,Senior Accounting Manager,United States,Finance & Legal,https://jobs.ashbyhq.com/tractable/398e718d-9f7c-4ea3-a197-62bcdfd063ac,2026-06-04T17:07:08.195+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Tractable:398e718d-9f7c-4ea3-a197-62bcdfd063ac
Tractable:76ecdf04-aa82-4488-9b4c-c46982c2cdf6,Tractable,Senior Embedded Systems Engineer,Salt Lake City,Hardware,https://jobs.ashbyhq.com/tractable/76ecdf04-aa82-4488-9b4c-c46982c2cdf6,2026-08-06T13:26:20.291+00:00,2026-08-07T01:17:04+00:00,2026-08-06 18:17 Thu,,false,,,,false,ashby:Tractable:76ecdf04-aa82-4488-9b4c-c46982c2cdf6
