job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Royal Bank of Canada:https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/AI-Engineer-I_R-0000178591-1,Royal Bank of Canada,AI Engineer I,"New York, New York, United States of America",,https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/AI-Engineer-I_R-0000178591-1,,2026-07-07T05:59:38+00:00,,false,,,,false,speedyapply:SpeedyApply AI:https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/AI-Engineer-I_R-0000178591-1
Royal Bank of Canada:272daeda-6504-4221-a6fb-f2970bd123c7,Royal Bank of Canada,Data Engineer Intern,"Toronto, ON, Canada",AI/ML/Data,https://rbc.wd3.myworkdayjobs.com/ExternalPrivatePostingStudents/job/TORONTO-Ontario-Canada/XMLNAME-2026-Fall---GRM--Data-Engineer-Intern--4-Months-_R-0000169658-3,2026-07-07,2026-07-08T02:45:08+00:00,,false,,,,false,simplify:Simplify Internships:272daeda-6504-4221-a6fb-f2970bd123c7
Royal Bank of Canada:795fc727-866d-4aee-b2f7-e8967b3e4d76,Royal Bank of Canada,Off Cycle Intern - Aiden Edge,"London, UK",Software,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/London-United-Kingdom-of-Great-Britain-and-Northern-Ireland/Off-Cycle-Intern---Aiden-Edge_R-0000179570,2026-07-07,2026-07-08T02:45:08+00:00,,false,,,,false,simplify:Simplify Internships:795fc727-866d-4aee-b2f7-e8967b3e4d76
Royal Bank of Canada:5d6d7dc9-642a-4e6e-85dc-94e769a60939,Royal Bank of Canada,Relationship Manager Business Markets Intern,"Kitchener, ON, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/175-WALLACE-AVE-NNORTH-PERTH/Relationship-Manager-Business-Markets-Intern_R-0000172273-2,2026-05-26,2026-07-08T23:12:06+00:00,,false,,,,false,simplify:Simplify Internships:5d6d7dc9-642a-4e6e-85dc-94e769a60939
Royal Bank of Canada:a904747c-0a1b-4b0e-822d-ca3184c2c4b5,Royal Bank of Canada,Relationship Manager Commercial Markets Intern,"Madawaska County, NB, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/GRAND-FALLS-New-Brunswick-Canada/Relationship-Manager-Commercial-Markets-Intern_R-0000178547,2026-07-02,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:a904747c-0a1b-4b0e-822d-ca3184c2c4b5
Royal Bank of Canada:6852e344-03a1-4352-bfc1-e98277cf707f,Royal Bank of Canada,Relationship Manager Commercial Markets Intern - Agriculture,"Oakland, ON, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/BRANTFORD-Ontario-Canada/Relationship-Manager-Commercial-Markets-Intern--Agriculture_R-0000178814,2026-07-02,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:6852e344-03a1-4352-bfc1-e98277cf707f
