job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Matterport:/job/US-MI-Field-Based/Associate-Photographer---Detroit--MI_R37608,Matterport,"Associate Photographer - Flint, MI",US-MI Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-MI-Field-Based/Associate-Photographer---Detroit--MI_R37608,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-MI-Field-Based/Associate-Photographer---Detroit--MI_R37608
Matterport:/job/US-CO-Denver/Associate-Photographer---Denver_R38094,Matterport,"Associate Photographer - Fort Collins, CO",US-CO Denver,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-CO-Denver/Associate-Photographer---Denver_R38094,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-CO-Denver/Associate-Photographer---Denver_R38094
Matterport:/job/US-NC-Field-Based/Associate-Photographer---Greensboro--Winston-Salem-NC_R38860,Matterport,Associate Photographer - Greensboro/ Winston Salem NC,US-NC Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-NC-Field-Based/Associate-Photographer---Greensboro--Winston-Salem-NC_R38860,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-NC-Field-Based/Associate-Photographer---Greensboro--Winston-Salem-NC_R38860
Matterport:/job/US-SC-Field-Based/Associate-Photographer---Greenville--SC_R39244,Matterport,"Associate Photographer - Greenville, SC",US-SC Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-SC-Field-Based/Associate-Photographer---Greenville--SC_R39244,Posted 14 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-SC-Field-Based/Associate-Photographer---Greenville--SC_R39244
Matterport:/job/US-MS-Field-Based/Associate-Photographer---Jackson--MS_R39363,Matterport,"Associate Photographer - Jackson, MS",US-MS Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-MS-Field-Based/Associate-Photographer---Jackson--MS_R39363,Posted Today,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-MS-Field-Based/Associate-Photographer---Jackson--MS_R39363
Matterport:/job/US-TN-Field-Based/Associate-Photographer---Knoxville--TN_R39276,Matterport,"Associate Photographer - Knoxville, TN",US-TN Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-TN-Field-Based/Associate-Photographer---Knoxville--TN_R39276,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-TN-Field-Based/Associate-Photographer---Knoxville--TN_R39276
Matterport:/job/US-MI-Field-Based/Associate-Photographer---Lansing--MI_R39373,Matterport,"Associate Photographer - Lansing, MI",US-MI Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-MI-Field-Based/Associate-Photographer---Lansing--MI_R39373,Posted Today,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-MI-Field-Based/Associate-Photographer---Lansing--MI_R39373
Matterport:/job/US-OK-Field-Based/Associate-Photographer---Oklahoma-City--OK_R39367,Matterport,"Associate Photographer - Oklahoma City, OK",US-OK Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-OK-Field-Based/Associate-Photographer---Oklahoma-City--OK_R39367,Posted Today,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-OK-Field-Based/Associate-Photographer---Oklahoma-City--OK_R39367
Matterport:/job/US-PA-Field-Based/Associate-Photographer---Philadelphia--PA_R39236,Matterport,"Associate Photographer - Philadelphia, PA",US-PA Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-PA-Field-Based/Associate-Photographer---Philadelphia--PA_R39236,Posted 14 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-PA-Field-Based/Associate-Photographer---Philadelphia--PA_R39236
Matterport:/job/US-OR-Field-Based/Associate-Photographer---South-Portland_R39248,Matterport,Associate Photographer - South Portland,US-OR Field Based,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-OR-Field-Based/Associate-Photographer---South-Portland_R39248,Posted 11 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-OR-Field-Based/Associate-Photographer---South-Portland_R39248
