job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
TSTC:https://jobs.lever.co/totalsystech/e96d1334-8c05-443a-a866-1c9b00bc9638/apply,TSTC,Junior Data Analyst,"Arlington, VA",,https://jobs.lever.co/totalsystech/e96d1334-8c05-443a-a866-1c9b00bc9638/apply,,2026-07-07T05:59:38+00:00,,false,,,,false,speedyapply:SpeedyApply AI:https://jobs.lever.co/totalsystech/e96d1334-8c05-443a-a866-1c9b00bc9638/apply
TSTC:https://jobs.lever.co/totalsystech/e96d1334-8c05-443a-a866-1c9b00bc9638,TSTC,Junior Data Analyst,"Remote - Arlington, VA",,https://jobs.lever.co/totalsystech/e96d1334-8c05-443a-a866-1c9b00bc9638,,2026-07-08T14:36:08+00:00,,false,,,,false,speedyapply:SpeedyApply AI:https://jobs.lever.co/totalsystech/e96d1334-8c05-443a-a866-1c9b00bc9638
